dwID	dwStartID	dwFinishID	szName	szRewardPath	szNamePath	nNameFrame	szFirstPagePath	szTaskTracePath	nTaskTraceFrame	szOpenPath	nOpenFrame	szRewardType	szOpenRewardPath	bHide	nStartQuestID	nFinishQuestID	nClassify	bPerfect	szReward	szMobileNamePath	szMobileOpenNamePath	buffList	szFront	nCampCanSee	nRelation	RewdItem
61	1419	1424	烟花戏·风	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	4	ui/Image/Adventure/catalogue/yanhuaxifeng.tga	ui\Image\UICommon\LuckyMeeting.UITex	65	ui\Image\UICommon\LuckyMeeting7.UITex	49		ui/Image/Adventure/reward/Open/烟花戏风_Open.tga	1			1			Resource\Adventure\AdventureName\烟花戏·风3.png	Resource\Adventure\OpenName\烟花戏·风2.png					
62	1425	1434	归安志·安	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	52	ui/Image/Adventure/catalogue/guianzhian.tga	ui\Image\UICommon\LuckyMeeting.UITex	67	ui\Image\UICommon\LuckyMeeting7.UITex	56		ui/Image/Adventure/reward/Open/归安志安_Open.tga	1			1			Resource\Adventure\AdventureName\归安志·安.png	Resource\Adventure\OpenName\(new)归安志·安.png					
63	1435	1444	归安志·归	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	53	ui/Image/Adventure/catalogue/guianzhigui.tga	ui\Image\UICommon\LuckyMeeting.UITex	67	ui\Image\UICommon\LuckyMeeting7.UITex	57		ui/Image/Adventure/reward/Open/归安志归_Open.tga	1			1			Resource\Adventure\AdventureName\归安志·归.png	Resource\Adventure\OpenName\(new)归安志·归.png					
64	1445	1454	归安志·志	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	54	ui/Image/Adventure/catalogue/guianzhizhi.tga	ui\Image\UICommon\LuckyMeeting.UITex	67	ui\Image\UICommon\LuckyMeeting7.UITex	58		ui/Image/Adventure/reward/Open/归安志志_Open.tga	1			1			Resource\Adventure\AdventureName\归安志·志.png	Resource\Adventure\OpenName\(new)归安志·志.png					
65			惜往日	ui\Image\Adventure\reward\惜往日.tga	ui\Image\UICommon\LuckyMeeting2.UITex	56	ui\Image\Adventure\catalogue\xiwangri.tga	ui\Image\UICommon\LuckyMeeting.UITex	69	ui\Image\UICommon\LuckyMeeting7.UITex	60		ui\Image\Adventure\reward\Open\xwr_Open.tga		18080	18205	2			Resource\Adventure\AdventureName\惜往日2.png	Resource\Adventure\OpenName\惜往日3.png	18992,1	江湖资历达到2.6万\n等级升到满级			5_69681;5_29989;5_29998;5_30051;
66			济苍生	ui\Image\Adventure\reward\jcs\	ui\Image\UICommon\LuckyMeeting2.UITex	55	ui\Image\Adventure\catalogue\jcs.tga	ui\Image\UICommon\LuckyMeeting.UITex	68	ui\Image\UICommon\LuckyMeeting7.UITex	59	school	ui\Image\Adventure\reward\Open\jcs\		18162	18190	2	1		Resource\Adventure\AdventureName\济苍生2.png	Resource\Adventure\OpenName\济苍生3.png	28934,1	完成[天衣华服！一]成就\n完成[初通幽玄]成就\n拥有200块星雷陨铁\n拥有150块浮屠陨铁\n江湖资历达到2.5万\n满级且加入门派			6_18343;6_18344;6_18345;6_18346;6_18347;6_18348;6_18349;6_18350;6_18351;6_18352;6_18353;6_18354;6_18355;6_18356;6_18357;6_18358;6_18359;6_18360;6_18361;6_18362;6_18363;6_18364;6_18365;6_18366;6_20411;6_23313;6_26364;6_45621;6_45622;6_45623;6_45624;6_45625;8_25819;
67	1455	1474	太行道	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	59	ui\Image\Adventure\catalogue\taihangdao.tga	ui\Image\UICommon\LuckyMeeting.UITex	72	ui\Image\UICommon\LuckyMeeting7.UITex	63		ui\Image\Adventure\reward\Open\taixingdao_Open.tga	1			1			Resource\Adventure\AdventureName\太行道.png	Resource\Adventure\OpenName\触发奇遇-太行道.png					
68	1475	1494	秘宝图	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	58	ui\Image\Adventure\catalogue\mibaotu.tga	ui\Image\UICommon\LuckyMeeting.UITex	71	ui\Image\UICommon\LuckyMeeting7.UITex	62		ui\Image\Adventure\reward\Open\mibaotu_Open.tga	1			1			Resource\Adventure\AdventureName\秘宝图.png	Resource\Adventure\OpenName\触发奇遇-秘宝 图.png					
69	1501	1516	客江干	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	57	ui\Image\Adventure\catalogue\kejianggan.tga	ui\Image\UICommon\LuckyMeeting.UITex	70	ui\Image\UICommon\LuckyMeeting7.UITex	61		ui\Image\Adventure\reward\Open\kejianggan_Open.tga	1			1			Resource\Adventure\AdventureName\客江干.png	Resource\Adventure\OpenName\触发奇遇-客江干.png					
70	1517	1526	滴水恩	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	61	ui\Image\Adventure\catalogue\dishuien.tga	ui\Image\UICommon\LuckyMeeting.UITex	74	ui\Image\UICommon\LuckyMeeting7.UITex	4		ui\Image\Adventure\reward\Open\滴水恩_Open.tga	1			1			Resource\Adventure\AdventureName\dishuien.png	Resource\Adventure\OpenName\触发奇遇标题.滴水恩.png					
71	1527	1538	谜书生	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	62	ui\Image\Adventure\catalogue\mishusheng.tga	ui\Image\UICommon\LuckyMeeting.UITex	75	ui\Image\UICommon\LuckyMeeting7.UITex	5		ui\Image\Adventure\reward\Open\谜书生_Open.tga	1			1			Resource\Adventure\AdventureName\mishusheng.png	Resource\Adventure\OpenName\触发奇遇标题.谜书生.png					
72	1539	1546	沧海笛	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	60	ui\Image\Adventure\catalogue\canghaidi.tga	ui\Image\UICommon\LuckyMeeting.UITex	73	ui\Image\UICommon\LuckyMeeting7.UITex	3		ui\Image\Adventure\reward\Open\沧海笛_Open.tga	1			1			Resource\Adventure\AdventureName\canghaidi.png	Resource\Adventure\OpenName\触发奇遇标题.沧海笛.png					
73	1547	1556	缘来会·瓜	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	64	ui\Image\Adventure\catalogue\yuanlaihuigua.tga	ui\Image\UICommon\LuckyMeeting.UITex	77	ui\Image\UICommon\LuckyMeeting7.UITex	14		ui\Image\Adventure\reward\Open\缘来会·瓜_Open.tga	1			1			Resource\Adventure\AdventureName\缘来会·瓜.png	Resource\Adventure\OpenName\缘来会·瓜.png					
74	1557	1566	缘来会·铃	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	65	ui\Image\Adventure\catalogue\yuanlaihuiling.tga	ui\Image\UICommon\LuckyMeeting.UITex	78	ui\Image\UICommon\LuckyMeeting7.UITex	15		ui\Image\Adventure\reward\Open\缘来会·铃_Open.tga	1			1			Resource\Adventure\AdventureName\缘来会·铃.png	Resource\Adventure\OpenName\缘来会·铃.png					
75	1567	1570	江湖录	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	63	ui\Image\Adventure\catalogue\jianghulu.tga	ui\Image\UICommon\LuckyMeeting.UITex	76	ui\Image\UICommon\LuckyMeeting7.UITex	11		ui\Image\Adventure\reward\Open\江湖录_Open.tga	1			1			Resource\Adventure\AdventureName\江湖录.png	Resource\Adventure\OpenName\江湖录.png					
76	1571		舞众生	ui\Image\Adventure\reward\舞众生.tga	ui\Image\UICommon\LuckyMeeting2.UITex	66	ui\Image\Adventure\catalogue\wuzhongsheng.tga	ui\Image\UICommon\LuckyMeeting.UITex	79	ui\Image\UICommon\LuckyMeeting7.UITex	16		ui\Image\Adventure\reward\Open\舞众生_Open.tga	0		21453	2			Resource\Adventure\AdventureName\目录标题_舞众生.png	Resource\Adventure\OpenName\触发奇遇标题_舞众生.png	28935,1	江湖资历达到1.6万\n苍云声望达到尊敬\n等级升到满级			5_34798;
77	1573	1592	露园事	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	69	ui\Image\Adventure\catalogue\luyuanshi.tga	ui\Image\UICommon\LuckyMeeting.UITex	82	ui\Image\UICommon\LuckyMeeting7.UITex	20		ui\Image\Adventure\reward\Open\露园事_Open.tga	1			1			Resource\Adventure\AdventureName\目录标题-lushiyuan.png	Resource\Adventure\OpenName\触发奇遇标题-露园事.png					
78			兔江湖	ui\Image\Adventure\reward\兔江湖.tga	ui\Image\UICommon\LuckyMeeting2.UITex	67	ui\Image\Adventure\catalogue\tujianghu.tga	ui\Image\UICommon\LuckyMeeting.UITex	81	ui\Image\UICommon\LuckyMeeting7.UITex	18		ui\Image\Adventure\reward\Open\兔江湖_Open.tga	0	21606	21631	2	1		Resource\Adventure\AdventureName\目录标题-tujianghu.png	Resource\Adventure\OpenName\触发奇遇标题_tujianghu.png	18998,1	完成[结庐江湖！五]成就\n江湖资历达到3.8万\n等级升到满级			8_27915;5_35854;8_25458;10_311;5_48778;
79			白日梦	ui\Image\Adventure\reward\白日梦.tga	ui\Image\UICommon\LuckyMeeting2.UITex	68	ui\Image\Adventure\catalogue\bairimeng.tga	ui\Image\UICommon\LuckyMeeting.UITex	80	ui\Image\UICommon\LuckyMeeting7.UITex	17		ui\Image\Adventure\reward\Open\白日梦_Open.tga	0	21658	21671	2	0		Resource\Adventure\AdventureName\目录标题-bairimeng.png	Resource\Adventure\OpenName\触发奇遇标题_bairimeng.png	28936,1	完成[结庐江湖！五]成就\n江湖资历达到1万\n等级升到满级			8_25440;10_1643;10_1644;
80	1595	1616	莫贪杯	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	71	ui\Image\Adventure\catalogue\motanbei.tga	ui\Image\UICommon\LuckyMeeting.UITex	83	ui\Image\UICommon\LuckyMeeting7.UITex	21		ui\Image\Adventure\reward\Open\莫贪杯_Open.tga	1			1			Resource\Adventure\AdventureName\目录标题-莫贪杯.png	Resource\Adventure\OpenName\触发奇遇标题-莫贪杯.png					
81	1621	1634	瀛洲梦	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	70	ui\Image\Adventure\catalogue\yingzhoumeng.tga	ui\Image\UICommon\LuckyMeeting.UITex	84	ui\Image\UICommon\LuckyMeeting7.UITex	22		ui\Image\Adventure\reward\Open\瀛洲梦_Open.tga	1			1			Resource\Adventure\AdventureName\目录标题-yingzhoumeng.png	Resource\Adventure\OpenName\触发奇遇标题-瀛洲梦.png		获得[一封信件]道具			
82			劝学记	ui\Image\Adventure\reward\劝学记.tga	ui\Image\UICommon\LuckyMeeting2.UITex	72	ui\Image\Adventure\catalogue\quanxueji.tga	ui\Image\UICommon\LuckyMeeting.UITex	85	ui\Image\UICommon\LuckyMeeting7.UITex	25		ui\Image\Adventure\reward\Open\劝学记_Open.tga	0	21838	21848	2			Resource\Adventure\AdventureName\目录标题-劝学记.png	Resource\Adventure\OpenName\触发奇遇标题图片.png	28937,1	江湖资历达到1万\n完成[鸿鹄之志！侠客岛]成就\n完成[鸿鹄之志！经首道源岛]成就\n完成[鸿鹄之志！洞天福地岛]成就\n完成[鸿鹄之志！鲲鹏岛]成就\n完成[鸿鹄之志！蔷薇列岛]成就\n完成[鸿鹄之志！龙泉府]成就\n等级升到满级			5_36069;
83			争铸吴钩	ui\Image\Adventure\reward\zzwg\	ui\Image\UICommon\LuckyMeeting2.UITex	73	ui\Image\Adventure\catalogue\zzwg.tga	ui\Image\UICommon\LuckyMeeting.UITex	86	ui\Image\UICommon\LuckyMeeting7.UITex	26	school	ui\Image\Adventure\reward\Open\zzwg\	0	21854	21884	2	1		Resource\Adventure\AdventureName\争铸吴钩.png	Resource\Adventure\OpenName\触发奇遇标题图片2.png	28938,1	江湖资历达到2.5万\n完成[天衣华服！一]成就\n藏剑山庄声望尊敬\n霸刀山庄声望尊敬\n拥有200块[蜃海陨铁]\n拥有150块[星雷陨铁]\n满级且加入门派			8_26069;6_24733;6_24734;6_24735;6_24736;6_24737;6_24738;6_24739;6_24740;6_24741;6_24742;6_24743;6_24744;6_24745;6_24746;6_24747;6_24748;6_24749;6_24750;6_24751;6_24752;6_24753;6_24754;6_24755;6_24756;6_24757;6_24758;6_26379;6_30288;6_30289;6_45626;6_45627;6_45628
84			缘路重归							ui\Image\UICommon\LuckyMeeting7.UITex	27		ui\Image\Adventure\reward\Open\缘路重归_Open.tga	1			1				Resource\Adventure\OpenName\触发奇遇标题-封印解除.png					
85	1635	1644	话玄虚	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	75	ui\Image\Adventure\catalogue\huaxuanxu.tga	ui\Image\UICommon\LuckyMeeting.UITex	90	ui\Image\UICommon\LuckyMeeting7.UITex	28		ui\Image\Adventure\reward\Open\话玄虚_Open.tga	1			1			Resource\Adventure\AdventureName\02目录标题图片-话玄虚.png	Resource\Adventure\OpenName\04触发奇遇标题图片-话玄虚.png					
86	1645	1652	白月皎	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	74	ui\Image\Adventure\catalogue\baiyuejiao.tga	ui\Image\UICommon\LuckyMeeting.UITex	89	ui\Image\UICommon\LuckyMeeting7.UITex	29		ui\Image\Adventure\reward\Open\白月皎_Open.tga	1			1			Resource\Adventure\AdventureName\02目录标题图片-白月皎.png	Resource\Adventure\OpenName\04触发奇遇标题图片-白月皎.png		完成[白兔殇]任务			
87	1653	1664	尘网中	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	76	ui\Image\Adventure\catalogue\chenwangzhong.tga	ui\Image\UICommon\LuckyMeeting.UITex	87	ui\Image\UICommon\LuckyMeeting7.UITex	64		ui\Image\Adventure\reward\Open\尘网中_Open.tga	1			1			Resource\Adventure\AdventureName\02目录标题图片-尘网中.png	Resource\Adventure\OpenName\04触发奇遇标题图片-尘网中.png					
88			侠行囧途	ui\Image\Adventure\reward\侠行囧途.tga	ui\Image\UICommon\LuckyMeeting2.UITex	77	ui\Image\Adventure\catalogue\xiaxingjiongtu.tga	ui\Image\UICommon\LuckyMeeting.UITex	88	ui\Image\UICommon\LuckyMeeting7.UITex	65		ui\Image\Adventure\reward\Open\侠行囧途_Open.tga	0	23212	23233	2	1		Resource\Adventure\AdventureName\77.png	Resource\Adventure\OpenName\65.png	28939,1	完成[衍天至交]成就\n完成[冢外疑阵]任务\n江湖资历达到5万\n等级达到满级			8_24956;
89	1665	1676	一枝栖	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	78	ui\Image\Adventure\catalogue\yizhiqi.tga	ui\Image\UICommon\LuckyMeeting.UITex	91	ui\Image\UICommon\LuckyMeeting7.UITex	66		ui\Image\Adventure\reward\Open\一枝栖_Open.tga	1			1			Resource\Adventure\AdventureName\78.png	Resource\Adventure\OpenName\触发奇遇.png					
90			流年如虹	ui\Image\Adventure\reward\流年如虹.tga	ui\Image\UICommon\LuckyMeeting2.UITex	81	ui\Image\Adventure\catalogue\liunianruhong.tga	ui\Image\UICommon\LuckyMeeting.UITex	94	ui\Image\UICommon\LuckyMeeting7.UITex	69		ui\Image\Adventure\reward\Open\流年如虹_Open.tga	0	23372	23633	2	1		Resource\Adventure\AdventureName\目录标题.png	Resource\Adventure\OpenName\69.png	28940,1	完成[结庐江湖！十六]成就\n庐园广记梓行点达到1000分\n等级达到满级			8_25679;5_40243;8_25680;5_39006;
91	1677	1690	丹青记	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	80	ui\Image\Adventure\catalogue\danqingji.tga	ui\Image\UICommon\LuckyMeeting.UITex	93	ui\Image\UICommon\LuckyMeeting7.UITex	67		ui\Image\Adventure\reward\Open\丹青记_Open.tga	1			1			Resource\Adventure\AdventureName\丹青记-1.png	Resource\Adventure\OpenName\丹青记-2.png					
92	1691	1698	捉贼记	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	79	ui\Image\Adventure\catalogue\zhuozeiji.tga	ui\Image\UICommon\LuckyMeeting.UITex	92	ui\Image\UICommon\LuckyMeeting7.UITex	68		ui\Image\Adventure\reward\Open\捉贼记_Open.tga	1			1			Resource\Adventure\AdventureName\捉贼记-1.png	Resource\Adventure\OpenName\捉贼记-2.png		完成[粗手笨脚]任务\n完成[选择坚强]任务			
93			寻猫记	ui\Image\Adventure\reward\寻猫记.tga	ui\Image\UICommon\LuckyMeeting2.UITex	82	ui\Image\Adventure\catalogue\xunmaoji.tga	ui\Image\UICommon\LuckyMeeting.UITex	95	ui\Image\UICommon\LuckyMeeting7.UITex	70		ui\Image\Adventure\reward\Open\寻猫记_Open.tga	0	23689	23699	2	0		Resource\Adventure\AdventureName\寻猫记.png	Resource\Adventure\OpenName\寻猫记.png	28941,1				8_27950;
94			旧宴承欢	ui\Image\Adventure\reward\旧宴承欢-奖励图片.tga	ui\Image\UICommon\LuckyMeeting2.UITex	83	ui\Image\Adventure\catalogue\旧宴承欢-首页图片.tga	ui\Image\UICommon\LuckyMeeting.UITex	96	ui\Image\UICommon\LuckyMeeting7.UITex	71		ui\Image\Adventure\reward\Open\旧宴承欢-触发奇遇奖励.tga		23831	23891	2			Resource\Adventure\AdventureName\旧宴承欢-标题.png	Resource\Adventure\OpenName\旧宴承欢 .png	28942,1	江湖资历达到2.5万\n等级达到满级			5_41661;
95	1711	1730	童蒙志	ui\Image\Adventure\reward\童蒙志.tga	ui\Image\UICommon\LuckyMeeting8.UITex	1	ui\Image\Adventure\catalogue\tongmengzhi.tga	ui\Image\UICommon\LuckyMeeting.UITex	100	ui\Image\UICommon\LuckyMeeting7.UITex	74		ui\Image\Adventure\reward\Open\童蒙志_Open.tga	1			1			Resource\Adventure\AdventureName\童蒙志 拷贝.png	Resource\Adventure\OpenName\触发奇遇-童蒙志.png					
96	1699	1710	念旧林	ui\Image\Adventure\reward\念旧林.tga	ui\Image\UICommon\LuckyMeeting8.UITex	2	ui\Image\Adventure\catalogue\nianjiulin.tga	ui\Image\UICommon\LuckyMeeting.UITex	99	ui\Image\UICommon\LuckyMeeting7.UITex	75		ui\Image\Adventure\reward\Open\念旧林_Open.tga	1			1			Resource\Adventure\AdventureName\念旧林 拷贝.png	Resource\Adventure\OpenName\触发奇遇-念旧林.png					
97	1731	1742	风雨意	ui\Image\Adventure\reward\三山四海.tga	\ui\Image\UICommon\LuckyMeeting8.UITex	0	ui\Image\Adventure\catalogue\fengyuyi.tga	ui\Image\UICommon\LuckyMeeting.UITex	98	\ui\Image\UICommon\LuckyMeeting7.UITex	73		ui\Image\Adventure\reward\Open\风雨意_Open.tga	1			1			Resource\Adventure\AdventureName\风雨意 拷贝.png	Resource\Adventure\OpenName\触发奇遇-风雨意.png					
98			凌云梯	ui\Image\Adventure\reward\凌云梯-奖励图片.tga	ui\Image\UICommon\LuckyMeeting2.UITex	85	ui\Image\Adventure\catalogue\凌云梯-首页图片.tga	ui\Image\UICommon\LuckyMeeting.UITex	101	ui\Image\UICommon\LuckyMeeting7.UITex	76		ui\Image\Adventure\reward\Open\凌云梯-触发奇遇奖励.tga		23976	23992	2			Resource\Adventure\AdventureName\凌云梯-标题 .png	Resource\Adventure\OpenName\凌云梯.png		江湖资历达到2.5万\n完成[天衣华服！一]成就\n完成[百胜！名剑大会]成就\n名剑大会段位达到五级\n等级达到满级			5_41664;
99			度人心	ui\Image\Adventure\reward\度人心.tga	ui\Image\UICommon\LuckyMeeting2.UITex	84	ui\Image\Adventure\catalogue\durenxin.tga	ui\Image\UICommon\LuckyMeeting.UITex	97	ui\Image\UICommon\LuckyMeeting7.UITex	72		ui\Image\Adventure\reward\Open\度人心_Open.tga	0	24164	24175	2			Resource\Adventure\AdventureName\度人心-标题 .png	Resource\Adventure\OpenName\度人心.png	28944,1	加入阵营\n江湖资历达到2.5万\n等级达到满级	5	100	5_41665;
100			度人心	ui\Image\Adventure\reward\度人心.tga	ui\Image\UICommon\LuckyMeeting2.UITex	84	ui\Image\Adventure\catalogue\durenxin.tga	ui\Image\UICommon\LuckyMeeting.UITex	97	ui\Image\UICommon\LuckyMeeting7.UITex	72		ui\Image\Adventure\reward\Open\度人心_Open.tga	1	24190	24199	2			Resource\Adventure\AdventureName\度人心-标题 .png	Resource\Adventure\OpenName\度人心.png	28944,1	加入阵营\n江湖资历达到2.5万	2	99	5_41665;
101			庆舞良宵	ui\Image\Adventure\reward\庆舞良宵.tga	ui\Image\UICommon\LuckyMeeting8.UITex	3	ui\Image\Adventure\catalogue\qingwuliangxiao.tga	ui\Image\UICommon\LuckyMeeting.UITex	102	ui\Image\UICommon\LuckyMeeting7.UITex	77		ui\Image\Adventure\reward\Open\庆舞良宵_Open.tga	0	24362	24365	2	0		Resource\Adventure\AdventureName\庆舞良宵.png	Resource\Adventure\OpenName\77.png	28945,1	江湖资历达到1.5万\n等级达到满级			8_31579;
102	1747	1760	鸠雀记	ui\Image\Adventure\reward\鸠雀记.tga	ui\Image\UICommon\LuckyMeeting8.UITex	4	ui\Image\Adventure\catalogue\jiuqueji.tga	ui\Image\UICommon\LuckyMeeting.UITex	103	ui\Image\UICommon\LuckyMeeting7.UITex	78		ui\Image\Adventure\reward\Open\鸠雀记_Open.tga	1			1			Resource\Adventure\AdventureName\目录标题(2).png	Resource\Adventure\OpenName\鸠雀记.png		获得[京衙卫佩包]挂件			
103	1761	1786	幽海牧	ui\Image\Adventure\reward\幽海牧.tga	ui\Image\UICommon\LuckyMeeting8.UITex	5	ui\Image\Adventure\catalogue\youhaimu.tga	ui\Image\UICommon\LuckyMeeting.UITex	104	ui\Image\UICommon\LuckyMeeting7.UITex	80		ui\Image\Adventure\reward\Open\幽海牧_Open.tga	1			1			Resource\Adventure\AdventureName\幽海牧.png	Resource\Adventure\OpenName\幽海牧.png					
104			万灵当歌	ui\Image\Adventure\reward\万灵当歌.tga	ui\Image\UICommon\LuckyMeeting8.UITex	7	ui\Image\Adventure\catalogue\万灵当歌-首页图片.tga	\ui\Image\UICommon\LuckyMeeting.UITex	106	\ui\Image\UICommon\LuckyMeeting7.UITex	81		ui/Image/Adventure/reward/Open/万灵当歌_Open.tga		24591	24592	2	1		Resource\Adventure\AdventureName\万灵当歌.png	Resource\Adventure\OpenName\81.png	28946,1	江湖资历达到3.5万\n累计获得100只宠物\n完成[宠物奇缘·兽王佩]成就\n驭兽身份等级达到1级\n等级达到满级			8_27984;5_45533;5_45558;
105	1773	1788	枉叹恨	ui\Image\Adventure\reward\枉叹恨.tga	ui\Image\UICommon\LuckyMeeting8.UITex	6	ui\Image\Adventure\catalogue\wangtanhen.tga	ui\Image\UICommon\LuckyMeeting.UITex	105	ui\Image\UICommon\LuckyMeeting7.UITex	79		ui\Image\Adventure\reward\Open\枉叹恨_Open.tga	1			1			Resource\Adventure\AdventureName\枉叹恨.png	Resource\Adventure\OpenName\枉叹恨.png					
106			千秋铸	ui\Image\Adventure\reward\qqz\	ui\Image\UICommon\LuckyMeeting8.UITex	8	ui\Image\Adventure\catalogue\千秋铸-首页图片.tga	ui\Image\UICommon\LuckyMeeting.UITex	107	ui\Image\UICommon\LuckyMeeting7.UITex	82	school	ui\Image\Adventure\reward\Open\qqz\	0	24740	24761	2	1		Resource\Adventure\AdventureName\千秋铸.png	Resource\Adventure\OpenName\千秋铸.png	28947,1	江湖资历达到3万\n完成[天衣华服！一]成就\n藏剑山庄声望尊敬\n霸刀山庄声望尊敬\n衍天宗声望尊敬\n拥有200块[星络陨铁]\n拥有150块[蜃海陨铁]\n满级且加入门派			8_37088;6_32167;6_32168;6_32169;6_32170;6_32171;6_32172;6_32173;6_32174;6_32175;6_32176;6_32177;6_32178;6_32179;6_32180;6_32181;6_32182;6_32183;6_32184;6_32185;6_32186;6_32187;6_32188;6_32189;6_32190;6_32191;6_32192;6_32193;6_32194;6_32195;6_34446;6_36828;6_45629;
107	1789	1822	子夜歌	ui\Image\Adventure\reward\子夜歌.tga	ui\Image\UICommon\LuckyMeeting8.UITex	11	ui\Image\Adventure\catalogue\ziyege.tga	ui\Image\UICommon\LuckyMeeting.UITex	110	ui\Image\UICommon\LuckyMeeting7.UITex	85		ui\Image\Adventure\reward\Open\子夜歌_Open.tga	1			1			Resource\Adventure\AdventureName\子夜歌目录标题.png	Resource\Adventure\OpenName\子夜歌_触发奇遇标题.png		完成烂柯山[神剑之危]任务\n完成烂柯山[殊途同归]任务			
108	1803	1816	重洋客	ui\Image\Adventure\reward\鸠雀记.tga	ui\Image\UICommon\LuckyMeeting8.UITex	10	ui\Image\Adventure\catalogue\chongyangke.tga	ui\Image\UICommon\LuckyMeeting.UITex	109	ui\Image\UICommon\LuckyMeeting7.UITex	84		ui/Image/Adventure/reward/Open/chongyangke_Open.tga	1			1			Resource\Adventure\AdventureName\重洋客目录标题.png	Resource\Adventure\OpenName\重洋客_触发奇遇标题.png					
109	1817	1832	故岁辞	ui\Image\Adventure\reward\故岁辞.tga	ui\Image\UICommon\LuckyMeeting8.UITex	9	ui\Image\Adventure\catalogue\gusuici.tga	ui\Image\UICommon\LuckyMeeting.UITex	108	ui\Image\UICommon\LuckyMeeting7.UITex	83		ui\Image\Adventure\reward\Open\故岁辞_Open.tga	1			1			Resource\Adventure\AdventureName\故岁辞目录标题.png	Resource\Adventure\OpenName\故岁辞_触发奇遇标题.png					
110			红尘不渡	ui\Image\Adventure\reward\红尘不渡-奖励图片.tga	ui\Image\UICommon\LuckyMeeting8.UITex	12	ui\Image\Adventure\catalogue\红尘不渡-奇遇书封面.tga	ui\Image\UICommon\LuckyMeeting.UITex	111	ui\Image\UICommon\LuckyMeeting7.UITex	86		ui\Image\Adventure\reward\Open\红尘不渡_Open.tga	0	25550	25570	2			Resource\Adventure\AdventureName\红尘不渡.png	Resource\Adventure\OpenName\(new)奇遇开启.png		等级达到满级\n江湖资历达到4.5万\n完成[剑侠录！烂柯山]成就			8_26063;
111			追魂骨	ui\Image\Adventure\reward\追魂骨.tga	ui\Image\UICommon\LuckyMeeting8.UITex	13	ui\Image\Adventure\catalogue\追魂骨_首页图片.tga	ui\Image\UICommon\LuckyMeeting.UITex	112	ui\Image\UICommon\LuckyMeeting7.UITex	87		ui\Image\Adventure\reward\Open\追魂骨_Open.tga	0	25624	25644	2	1		Resource\Adventure\AdventureName\追魂骨.png	Resource\Adventure\OpenName\87.png		江湖资历达到5.5万\n加入阵营\n完成千里伐逐系列中除[神兵！千里伐逐]之外全部成就\n拥有驭兽身份			8_31594;8_36636;8_36637;8_36638;
112			镜中琴音	ui\Image\Adventure\reward\jingzhongqinyin.tga	ui\Image\UICommon\LuckyMeeting8.UITex	14	ui\Image\Adventure\catalogue\jingzhongqinyin.tga	ui\Image\UICommon\LuckyMeeting.UITex	113	ui\Image\UICommon\LuckyMeeting7.UITex	88		ui\Image\Adventure\reward\Open\镜中琴音_Open.tga	0	25652	25659	2			Resource\Adventure\AdventureName\奇遇标题-镜中琴音.png	Resource\Adventure\OpenName\奇遇开启.png		江湖资历达到4.5万\n完成[百战！第三十层]成就\n完成[百战技能入门]成就\n等级升到满级			8_26062;
