ID	Value	ModifyType	Param1Min	Param1Max	Param2Min	Param2Max	Group1	Group2	Group3	Group4	Group5	Group6	Group7	Group8	Group9	Group10
21150	0	atPoisonAttackPowerBase	1115	1115	0	0	0	0	0	0	0	0	0	0	0	0
21151	0	atPoisonAttackPowerBase	1173	1173	0	0	0	0	0	0	0	0	0	0	0	0
21152	0	atSolarAndLunarAttackPowerBase	909	909	0	0	0	0	0	0	0	0	0	0	0	0
21153	0	atNeutralAttackPowerBase	1201	1201	0	0	0	0	0	0	0	0	0	0	0	0
21154	0	atTherapyPowerBase	1582	1582	0	0	0	0	0	0	0	0	0	0	0	0
21155	0	atVitalityBase	624	624	0	0	0	0	0	0	0	0	0	0	0	0
21156	0	atParryValueBase	2964	2964	0	0	0	0	0	0	0	0	0	0	0	0
21157	0	atNeutralAttackPowerBase	1263	1263	0	0	0	0	0	0	0	0	0	0	0	0
21158	0	atAgilityBase	213	213	0	0	0	0	0	0	0	0	0	0	0	0
21159	0	atPhysicsAttackPowerBase	1052	1052	0	0	0	0	0	0	0	0	0	0	0	0
21160	0	atStrengthBase	213	213	0	0	0	0	0	0	0	0	0	0	0	0
21161	0	atLunarAttackPowerBase	1263	1263	0	0	0	0	0	0	0	0	0	0	0	0
21162	0	atPoisonAttackPowerBase	1201	1201	0	0	0	0	0	0	0	0	0	0	0	0
21163	0	atPoisonAttackPowerBase	1263	1263	0	0	0	0	0	0	0	0	0	0	0	0
21164	0	atSolarAndLunarHitValue	103	103	0	0	0	0	0	0	0	0	0	0	0	0
21165	0	atNeutralAttackPowerBase	1287	1287	0	0	0	0	0	0	0	0	0	0	0	0
21166	0	atSolarAttackPowerBase	1287	1287	0	0	0	0	0	0	0	0	0	0	0	0
21167	0	atVitalityBase	669	669	0	0	0	0	0	0	0	0	0	0	0	0
21168	0	atParryValueBase	3175	3175	0	0	0	0	0	0	0	0	0	0	0	0
21169	0	atNeutralAttackPowerBase	1353	1353	0	0	0	0	0	0	0	0	0	0	0	0
21170	0	atAgilityBase	229	229	0	0	0	0	0	0	0	0	0	0	0	0
21171	0	atPhysicsAttackPowerBase	1127	1127	0	0	0	0	0	0	0	0	0	0	0	0
21172	0	atStrengthBase	229	229	0	0	0	0	0	0	0	0	0	0	0	0
21173	0	atLunarAttackPowerBase	1353	1353	0	0	0	0	0	0	0	0	0	0	0	0
21174	0	atPoisonAttackPowerBase	1287	1287	0	0	0	0	0	0	0	0	0	0	0	0
21175	0	atPoisonAttackPowerBase	1353	1353	0	0	0	0	0	0	0	0	0	0	0	0
21176	0	atSolarAndLunarAttackPowerBase	1049	1049	0	0	0	0	0	0	0	0	0	0	0	0
21177	0	atSolarAndLunarOvercomeBase	147	147	0	0	0	0	0	0	0	0	0	0	0	0
21178	0	atSolarAndLunarHitValue	111	111	0	0	0	0	0	0	0	0	0	0	0	0
21179	0	atNeutralAttackPowerBase	1373	1373	0	0	0	0	0	0	0	0	0	0	0	0
21180	0	atTherapyPowerBase	1808	1808	0	0	0	0	0	0	0	0	0	0	0	0
21181	0	atSolarAttackPowerBase	1373	1373	0	0	0	0	0	0	0	0	0	0	0	0
21182	0	atParryValueBase	3387	3387	0	0	0	0	0	0	0	0	0	0	0	0
21183	0	atNeutralAttackPowerBase	1443	1443	0	0	0	0	0	0	0	0	0	0	0	0
21184	0	atLunarAttackPowerBase	1443	1443	0	0	0	0	0	0	0	0	0	0	0	0
21185	0	atPoisonAttackPowerBase	1373	1373	0	0	0	0	0	0	0	0	0	0	0	0
21186	0	atPoisonAttackPowerBase	1443	1443	0	0	0	0	0	0	0	0	0	0	0	0
21187	0	atSolarAndLunarAttackPowerBase	1119	1119	0	0	0	0	0	0	0	0	0	0	0	0
21188	0	atSolarAndLunarHitValue	118	118	0	0	0	0	0	0	0	0	0	0	0	0
21189	0	atSolarAndLunarAttackPowerBase	260	260	0	0	0	0	0	0	0	0	0	0	0	0
21190	0	atSolarAndLunarAttackPowerBase	362	362	0	0	0	0	0	0	0	0	0	0	0	0
21191	0	atSolarAndLunarAttackPowerBase	369	369	0	0	0	0	0	0	0	0	0	0	0	0
21192	0	atSolarAndLunarOvercomeBase	109	109	0	0	0	0	0	0	0	0	0	0	0	0
21193	0	atSolarAndLunarOvercomeBase	146	146	0	0	0	0	0	0	0	0	0	0	0	0
21194	0	atSolarAndLunarOvercomeBase	149	149	0	0	0	0	0	0	0	0	0	0	0	0
21195	0	atSolarAndLunarOvercomeBase	158	158	0	0	0	0	0	0	0	0	0	0	0	0
21196	0	atSolarAndLunarAttackPowerBase	544	544	0	0	0	0	0	0	0	0	0	0	0	0
21197	0	atDodge	139	139	0	0	0	0	0	0	0	0	0	0	0	0
21198	0	atSolarAndLunarAttackPowerBase	669	669	0	0	0	0	0	0	0	0	0	0	0	0
21199	0	atSolarAndLunarAttackPowerBase	457	457	0	0	0	0	0	0	0	0	0	0	0	0
21200	0	atSolarAndLunarAttackPowerBase	734	734	0	0	0	0	0	0	0	0	0	0	0	0
21201	0	atSolarAndLunarAttackPowerBase	18	18	0	0	0	0	0	0	0	0	0	0	0	0
21202	0	atSolarAndLunarAttackPowerBase	550	550	0	0	0	0	0	0	0	0	0	0	0	0
21203	0	atDodge	154	154	0	0	0	0	0	0	0	0	0	0	0	0
21204	0	atSolarAndLunarAttackPowerBase	578	578	0	0	0	0	0	0	0	0	0	0	0	0
21205	0	atSolarAndLunarOvercomeBase	155	155	0	0	0	0	0	0	0	0	0	0	0	0
21206	0	atSolarAndLunarAttackPowerBase	607	607	0	0	0	0	0	0	0	0	0	0	0	0
21207	0	atSolarAndLunarOvercomeBase	163	163	0	0	0	0	0	0	0	0	0	0	0	0
21208	0	atSolarAndLunarAttackPowerBase	256	256	0	0	0	0	0	0	0	0	0	0	0	0
21209	0	atSolarAndLunarAttackPowerBase	739	739	0	0	0	0	0	0	0	0	0	0	0	0
21210	0	atSolarAndLunarOvercomeBase	198	198	0	0	0	0	0	0	0	0	0	0	0	0
21211	0	atDodge	265	265	0	0	0	0	0	0	0	0	0	0	0	0
21212	0	atSolarAndLunarHitValue	147	147	0	0	0	0	0	0	0	0	0	0	0	0
21213	0	atSolarAndLunarAttackPowerBase	950	950	0	0	0	0	0	0	0	0	0	0	0	0
21214	0	atSolarAndLunarOvercomeBase	255	255	0	0	0	0	0	0	0	0	0	0	0	0
21215	0	atDodge	162	162	0	0	0	0	0	0	0	0	0	0	0	0
21216	0	atSolarAndLunarAttackPowerBase	686	686	0	0	0	0	0	0	0	0	0	0	0	0
21217	0	atSolarAndLunarOvercomeBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
21218	0	atDodge	201	201	0	0	0	0	0	0	0	0	0	0	0	0
21219	0	atSolarAndLunarOvercomeBase	193	193	0	0	0	0	0	0	0	0	0	0	0	0
21220	0	atSolarAndLunarAttackPowerBase	654	654	0	0	0	0	0	0	0	0	0	0	0	0
21221	0	atSolarAndLunarAttackPowerBase	746	746	0	0	0	0	0	0	0	0	0	0	0	0
21222	0	atSolarAndLunarOvercomeBase	220	220	0	0	0	0	0	0	0	0	0	0	0	0
21223	0	atSolarAndLunarAttackPowerBase	817	817	0	0	0	0	0	0	0	0	0	0	0	0
21224	0	atSolarAndLunarOvercomeBase	241	241	0	0	0	0	0	0	0	0	0	0	0	0
21225	0	atSolarAndLunarOvercomeBase	260	260	0	0	0	0	0	0	0	0	0	0	0	0
21226	0	atDodge	236	236	0	0	0	0	0	0	0	0	0	0	0	0
21227	0	atSolarAndLunarAttackPowerBase	959	959	0	0	0	0	0	0	0	0	0	0	0	0
21228	0	atSolarAndLunarOvercomeBase	283	283	0	0	0	0	0	0	0	0	0	0	0	0
21229	0	atSolarAndLunarAttackPowerBase	594	594	0	0	0	0	0	0	0	0	0	0	0	0
21230	0	atSolarAndLunarAttackPowerBase	601	601	0	0	0	0	0	0	0	0	0	0	0	0
21231	0	atDodge	173	173	0	0	0	0	0	0	0	0	0	0	0	0
21232	0	atSolarAndLunarAttackPowerBase	819	819	0	0	0	0	0	0	0	0	0	0	0	0
21233	0	atSolarAndLunarOvercomeBase	242	242	0	0	0	0	0	0	0	0	0	0	0	0
21234	0	atSolarAndLunarOvercomeBase	244	244	0	0	0	0	0	0	0	0	0	0	0	0
21235	0	atSolarAndLunarAttackPowerBase	835	835	0	0	0	0	0	0	0	0	0	0	0	0
21236	0	atSolarAndLunarOvercomeBase	247	247	0	0	0	0	0	0	0	0	0	0	0	0
21237	0	atSolarAndLunarAttackPowerBase	843	843	0	0	0	0	0	0	0	0	0	0	0	0
21238	0	atSolarAndLunarOvercomeBase	249	249	0	0	0	0	0	0	0	0	0	0	0	0
21239	0	atDodge	203	203	0	0	0	0	0	0	0	0	0	0	0	0
21240	0	atSolarAndLunarAttackPowerBase	919	919	0	0	0	0	0	0	0	0	0	0	0	0
21241	0	atSolarAndLunarAttackPowerBase	928	928	0	0	0	0	0	0	0	0	0	0	0	0
21242	0	atSolarAndLunarAttackPowerBase	1036	1036	0	0	0	0	0	0	0	0	0	0	0	0
21243	0	atSolarAndLunarAttackPowerBase	267	267	0	0	0	0	0	0	0	0	0	0	0	0
21244	0	atSolarAndLunarAttackPowerBase	809	809	0	0	0	0	0	0	0	0	0	0	0	0
21245	0	atSolarAndLunarOvercomeBase	217	217	0	0	0	0	0	0	0	0	0	0	0	0
21246	0	atDodge	226	226	0	0	0	0	0	0	0	0	0	0	0	0
21247	0	atSolarAndLunarAttackPowerBase	1014	1014	0	0	0	0	0	0	0	0	0	0	0	0
21248	0	atVitalityBase	549	549	0	0	0	0	0	0	0	0	0	0	0	0
21249	0	atSolarAndLunarHitValue	133	133	0	0	0	0	0	0	0	0	0	0	0	0
21250	0	atSolarAndLunarAttackPowerBase	914	914	0	0	0	0	0	0	0	0	0	0	0	0
21251	0	atSolarAndLunarOvercomeBase	245	245	0	0	0	0	0	0	0	0	0	0	0	0
21252	0	atDodge	255	255	0	0	0	0	0	0	0	0	0	0	0	0
21253	0	atSolarAndLunarHitValue	142	142	0	0	0	0	0	0	0	0	0	0	0	0
21254	0	atSolarAndLunarAttackPowerBase	1144	1144	0	0	0	0	0	0	0	0	0	0	0	0
21255	0	atSolarAndLunarHitValue	150	150	0	0	0	0	0	0	0	0	0	0	0	0
21256	0	atSolarAndLunarAttackPowerBase	472	472	0	0	0	0	0	0	0	0	0	0	0	0
21257	0	atSolarAndLunarOvercomeBase	150	150	0	0	0	0	0	0	0	0	0	0	0	0
21258	0	atSolarAndLunarAttackPowerBase	537	537	0	0	0	0	0	0	0	0	0	0	0	0
21259	0	atSolarAndLunarAttackPowerBase	649	649	0	0	0	0	0	0	0	0	0	0	0	0
21260	0	atSolarAndLunarOvercomeBase	186	186	0	0	0	0	0	0	0	0	0	0	0	0
21261	0	atSolarAndLunarCriticalStrike	120	120	0	0	0	0	0	0	0	0	0	0	0	0
21262	0	atSolarAndLunarAttackPowerBase	729	729	0	0	0	0	0	0	0	0	0	0	0	0
21263	0	atSolarAndLunarOvercomeBase	209	209	0	0	0	0	0	0	0	0	0	0	0	0
21264	0	atSolarAndLunarCriticalStrike	134	134	0	0	0	0	0	0	0	0	0	0	0	0
21265	0	atSolarAndLunarAttackPowerBase	808	808	0	0	0	0	0	0	0	0	0	0	0	0
21266	0	atSolarAndLunarOvercomeBase	232	232	0	0	0	0	0	0	0	0	0	0	0	0
21267	0	atSolarAndLunarAttackPowerBase	830	830	0	0	0	0	0	0	0	0	0	0	0	0
21268	0	atSolarAndLunarCriticalStrike	149	149	0	0	0	0	0	0	0	0	0	0	0	0
21269	0	atSolarAndLunarOvercomeBase	236	236	0	0	0	0	0	0	0	0	0	0	0	0
21270	0	atSolarAndLunarHitValue	127	127	0	0	0	0	0	0	0	0	0	0	0	0
21271	0	atSolarAndLunarAttackPowerBase	1306	1306	0	0	0	0	0	0	0	0	0	0	0	0
21272	0	atSolarAndLunarAttackPowerBase	518	518	0	0	0	0	0	0	0	0	0	0	0	0
21273	0	atSolarAndLunarAttackPowerBase	855	855	0	0	0	0	0	0	0	0	0	0	0	0
21274	0	atSolarAndLunarAttackPowerBase	879	879	0	0	0	0	0	0	0	0	0	0	0	0
21275	0	atSolarAndLunarCriticalDamagePowerBase	70	70	0	0	0	0	0	0	0	0	0	0	0	0
21276	0	atSolarAndLunarOvercomeBase	271	271	0	0	0	0	0	0	0	0	0	0	0	0
21277	0	atSolarAndLunarCriticalStrike	150	150	0	0	0	0	0	0	0	0	0	0	0	0
21278	0	atSolarAndLunarAttackPowerBase	974	974	0	0	0	0	0	0	0	0	0	0	0	0
21279	0	atSolarAndLunarCriticalStrike	156	156	0	0	0	0	0	0	0	0	0	0	0	0
21280	0	atSolarAndLunarHitValue	145	145	0	0	0	0	0	0	0	0	0	0	0	0
21281	0	atSolarAndLunarAttackPowerBase	934	934	0	0	0	0	0	0	0	0	0	0	0	0
21282	0	atSolarAndLunarOvercomeBase	268	268	0	0	0	0	0	0	0	0	0	0	0	0
21283	0	atSolarAndLunarAttackPowerBase	960	960	0	0	0	0	0	0	0	0	0	0	0	0
21284	0	atSolarAndLunarCriticalStrike	172	172	0	0	0	0	0	0	0	0	0	0	0	0
21285	0	atSolarAndLunarAttackPowerBase	887	887	0	0	0	0	0	0	0	0	0	0	0	0
21286	0	atSolarAndLunarAttackPowerBase	912	912	0	0	0	0	0	0	0	0	0	0	0	0
21287	0	atSolarAndLunarAttackPowerBase	1020	1020	0	0	0	0	0	0	0	0	0	0	0	0
21288	0	atSolarAndLunarOvercomeBase	274	274	0	0	0	0	0	0	0	0	0	0	0	0
21289	0	atVitalityBase	621	621	0	0	0	0	0	0	0	0	0	0	0	0
21290	0	atDodge	285	285	0	0	0	0	0	0	0	0	0	0	0	0
21291	0	atSolarAndLunarHitValue	158	158	0	0	0	0	0	0	0	0	0	0	0	0
21292	0	atParryValueBase	1070	1070	0	0	0	0	0	0	0	0	0	0	0	0
21293	0	atSolarAndLunarAttackPowerBase	875	875	0	0	0	0	0	0	0	0	0	0	0	0
21294	0	atSolarAndLunarOvercomeBase	235	235	0	0	0	0	0	0	0	0	0	0	0	0
21295	0	atDodge	244	244	0	0	0	0	0	0	0	0	0	0	0	0
21296	0	atPhysicsAttackPowerBase	675	675	0	0	0	0	0	0	0	0	0	0	0	0
21297	0	atParryValueBase	1161	1161	0	0	0	0	0	0	0	0	0	0	0	0
21298	0	atMagicOvercome	149	149	0	0	0	0	0	0	0	0	0	0	0	0
21299	0	atPhysicsAttackPowerBase	591	591	0	0	0	0	0	0	0	0	0	0	0	0
21300	0	atAllTypeCriticalDamagePowerBase	75	75	0	0	0	0	0	0	0	0	0	0	0	0
21301	0	atNeutralAttackPowerBase	1394	1394	0	0	0	0	0	0	0	0	0	0	0	0
21302	0	atNeutralOvercomeBase	206	206	0	0	0	0	0	0	0	0	0	0	0	0
21303	0	atTherapyPowerBase	1721	1721	0	0	0	0	0	0	0	0	0	0	0	0
21304	0	atHasteBase	206	206	0	0	0	0	0	0	0	0	0	0	0	0
21305	0	atSolarAttackPowerBase	1394	1394	0	0	0	0	0	0	0	0	0	0	0	0
21306	0	atSolarOvercomeBase	206	206	0	0	0	0	0	0	0	0	0	0	0	0
21307	0	atPhysicsAttackPowerBase	1162	1162	0	0	0	0	0	0	0	0	0	0	0	0
21308	0	atLunarAttackPowerBase	1394	1394	0	0	0	0	0	0	0	0	0	0	0	0
21309	0	atLunarOvercomeBase	206	206	0	0	0	0	0	0	0	0	0	0	0	0
21310	0	atPoisonAttackPowerBase	1394	1394	0	0	0	0	0	0	0	0	0	0	0	0
21311	0	atPoisonOvercomeBase	206	206	0	0	0	0	0	0	0	0	0	0	0	0
21312	0	atTherapyPowerBase	2065	2065	0	0	0	0	0	0	0	0	0	0	0	0
21313	0	atDodge	324	324	0	0	0	0	0	0	0	0	0	0	0	0
21314	0	atSolarAndLunarAttackPowerBase	1161	1161	0	0	0	0	0	0	0	0	0	0	0	0
21315	0	atSolarAndLunarOvercomeBase	311	311	0	0	0	0	0	0	0	0	0	0	0	0
21316	0	atNeutralAttackPowerBase	1246	1246	0	0	0	0	0	0	0	0	0	0	0	0
21317	0	atNeutralOvercomeBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
21318	0	atTherapyPowerBase	1538	1538	0	0	0	0	0	0	0	0	0	0	0	0
21319	0	atSolarAttackPowerBase	1246	1246	0	0	0	0	0	0	0	0	0	0	0	0
21320	0	atSolarOvercomeBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
21321	0	atVitalityBase	689	689	0	0	0	0	0	0	0	0	0	0	0	0
21322	0	atPhysicsAttackPowerBase	1038	1038	0	0	0	0	0	0	0	0	0	0	0	0
21323	0	atLunarAttackPowerBase	1246	1246	0	0	0	0	0	0	0	0	0	0	0	0
21324	0	atLunarOvercomeBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
21325	0	atPoisonAttackPowerBase	1246	1246	0	0	0	0	0	0	0	0	0	0	0	0
21326	0	atPoisonOvercomeBase	184	184	0	0	0	0	0	0	0	0	0	0	0	0
21327	0	atTherapyPowerBase	1846	1846	0	0	0	0	0	0	0	0	0	0	0	0
21328	0	atVitalityBase	632	632	0	0	0	0	0	0	0	0	0	0	0	0
21329	0	atDodge	290	290	0	0	0	0	0	0	0	0	0	0	0	0
21330	0	atSolarAndLunarAttackPowerBase	1038	1038	0	0	0	0	0	0	0	0	0	0	0	0
21331	0	atSolarAndLunarOvercomeBase	278	278	0	0	0	0	0	0	0	0	0	0	0	0
21332	0	atLunarAttackPowerBase	351	351	0	0	0	0	0	0	0	0	0	0	0	0
21333	0	atPoisonAttackPowerBase	1236	1236	0	0	0	0	0	0	0	0	0	0	0	0
21334	0	atPoisonOvercomeBase	177	177	0	0	0	0	0	0	0	0	0	0	0	0
21335	0	atPhysicsAttackPowerBase	1044	1044	0	0	0	0	0	0	0	0	0	0	0	0
21336	0	atDecriticalDamagePowerBase	11	11	0	0	0	0	0	0	0	0	0	0	0	0
21337	0	atParryValueBase	282	282	0	0	0	0	0	0	0	0	0	0	0	0
21338	0	atParryValueBase	514	514	0	0	0	0	0	0	0	0	0	0	0	0
21339	0	atParryValueBase	453	453	0	0	0	0	0	0	0	0	0	0	0	0
21340	0	atHasteBase	23	23	0	0	0	0	0	0	0	0	0	0	0	0
21341	0	atParryValueBase	499	499	0	0	0	0	0	0	0	0	0	0	0	0
21342	0	atHasteBase	17	17	0	0	0	0	0	0	0	0	0	0	0	0
21343	0	atParryValueBase	298	298	0	0	0	0	0	0	0	0	0	0	0	0
21344	0	atHasteBase	14	14	0	0	0	0	0	0	0	0	0	0	0	0
21345	0	atHasteBase	15	15	0	0	0	0	0	0	0	0	0	0	0	0
21346	0	atParryValueBase	429	429	0	0	0	0	0	0	0	0	0	0	0	0
21347	0	atParryValueBase	441	441	0	0	0	0	0	0	0	0	0	0	0	0
21348	0	atLunarHitValue	21	21	0	0	0	0	0	0	0	0	0	0	0	0
21349	0	atParryValueBase	520	520	0	0	0	0	0	0	0	0	0	0	0	0
21350	0	atParryValueBase	532	532	0	0	0	0	0	0	0	0	0	0	0	0
21351	0	atParryValueBase	274	274	0	0	0	0	0	0	0	0	0	0	0	0
21352	0	atHasteBase	27	27	0	0	0	0	0	0	0	0	0	0	0	0
21353	0	atHasteBase	28	28	0	0	0	0	0	0	0	0	0	0	0	0
21354	0	atParryValueBase	450	450	0	0	0	0	0	0	0	0	0	0	0	0
21355	0	atParryValueBase	393	393	0	0	0	0	0	0	0	0	0	0	0	0
21356	0	atParryValueBase	456	456	0	0	0	0	0	0	0	0	0	0	0	0
21357	0	atParryValueBase	325	325	0	0	0	0	0	0	0	0	0	0	0	0
21358	0	atParryValueBase	405	405	0	0	0	0	0	0	0	0	0	0	0	0
21359	0	atAllTypeCriticalStrike	25	25	0	0	0	0	0	0	0	0	0	0	0	0
21360	0	atTherapyPowerBase	17	17	0	0	0	0	0	0	0	0	0	0	0	0
21361	0	atParryValueBase	484	484	0	0	0	0	0	0	0	0	0	0	0	0
21362	0	atParryValueBase	604	604	0	0	0	0	0	0	0	0	0	0	0	0
21363	0	atAllTypeHitValue	25	25	0	0	0	0	0	0	0	0	0	0	0	0
21364	0	atParryValueBase	473	473	0	0	0	0	0	0	0	0	0	0	0	0
21365	0	atParryValueBase	521	521	0	0	0	0	0	0	0	0	0	0	0	0
21366	0	atParryValueBase	537	537	0	0	0	0	0	0	0	0	0	0	0	0
21367	0	atParryValueBase	513	513	0	0	0	0	0	0	0	0	0	0	0	0
21368	0	atParryValueBase	529	529	0	0	0	0	0	0	0	0	0	0	0	0
21369	0	atParryValueBase	468	468	0	0	0	0	0	0	0	0	0	0	0	0
21370	0	atParryValueBase	626	626	0	0	0	0	0	0	0	0	0	0	0	0
21371	0	atParryValueBase	632	632	0	0	0	0	0	0	0	0	0	0	0	0
21372	0	atParryValueBase	638	638	0	0	0	0	0	0	0	0	0	0	0	0
21373	0	atParryValueBase	801	801	0	0	0	0	0	0	0	0	0	0	0	0
21374	0	atParryValueBase	644	644	0	0	0	0	0	0	0	0	0	0	0	0
21375	0	atParryValueBase	771	771	0	0	0	0	0	0	0	0	0	0	0	0
21376	0	atSolarAttackPowerBase	267	267	0	0	0	0	0	0	0	0	0	0	0	0
21377	0	atParryValueBase	756	756	0	0	0	0	0	0	0	0	0	0	0	0
21378	0	atMagicAttackPowerBase	701	701	0	0	0	0	0	0	0	0	0	0	0	0
21379	0	atTherapyPowerBase	931	931	0	0	0	0	0	0	0	0	0	0	0	0
21380	0	atMagicAttackPowerBase	523	523	0	0	0	0	0	0	0	0	0	0	0	0
21381	0	atHasteBase	16	16	0	0	0	0	0	0	0	0	0	0	0	0
21382	0	atHasteBase	19	19	0	0	0	0	0	0	0	0	0	0	0	0
21383	0	atMagicAttackPowerBase	674	674	0	0	0	0	0	0	0	0	0	0	0	0
21384	0	atMagicAttackPowerBase	545	545	0	0	0	0	0	0	0	0	0	0	0	0
21385	0	atMagicOvercome	115	115	0	0	0	0	0	0	0	0	0	0	0	0
21386	0	atTherapyPowerBase	947	947	0	0	0	0	0	0	0	0	0	0	0	0
21387	0	atAllTypeHitValue	48	48	0	0	0	0	0	0	0	0	0	0	0	0
21388	0	atMagicAttackPowerBase	508	508	0	0	0	0	0	0	0	0	0	0	0	0
21389	0	atTherapyPowerBase	883	883	0	0	0	0	0	0	0	0	0	0	0	0
21390	0	atMagicAttackPowerBase	484	484	0	0	0	0	0	0	0	0	0	0	0	0
21391	0	atMagicAttackPowerBase	396	396	0	0	0	0	0	0	0	0	0	0	0	0
21392	0	atMagicAttackPowerBase	495	495	0	0	0	0	0	0	0	0	0	0	0	0
21393	0	atMagicAttackPowerBase	415	415	0	0	0	0	0	0	0	0	0	0	0	0
21394	0	atMagicOvercome	119	119	0	0	0	0	0	0	0	0	0	0	0	0
21395	0	atMagicAttackPowerBase	594	594	0	0	0	0	0	0	0	0	0	0	0	0
21396	0	atMagicAttackPowerBase	503	503	0	0	0	0	0	0	0	0	0	0	0	0
21397	0	atTherapyPowerBase	937	937	0	0	0	0	0	0	0	0	0	0	0	0
21398	0	atMagicAttackPowerBase	499	499	0	0	0	0	0	0	0	0	0	0	0	0
21399	0	atPhysicsAttackPowerBase	533	533	0	0	0	0	0	0	0	0	0	0	0	0
21400	0	atMagicAttackPowerBase	612	612	0	0	0	0	0	0	0	0	0	0	0	0
21401	0	atTherapyPowerBase	996	996	0	0	0	0	0	0	0	0	0	0	0	0
21402	0	atMagicAttackPowerBase	600	600	0	0	0	0	0	0	0	0	0	0	0	0
21403	0	atPoisonAttackPowerBase	350	350	0	0	0	0	0	0	0	0	0	0	0	0
21404	0	atMagicAttackPowerBase	431	431	0	0	0	0	0	0	0	0	0	0	0	0
21405	0	atMagicAttackPowerBase	617	617	0	0	0	0	0	0	0	0	0	0	0	0
21406	0	atAllTypeHitValue	70	70	0	0	0	0	0	0	0	0	0	0	0	0
21407	0	atMagicAttackPowerBase	591	591	0	0	0	0	0	0	0	0	0	0	0	0
21408	0	atMagicAttackPowerBase	517	517	0	0	0	0	0	0	0	0	0	0	0	0
21409	0	atMagicAttackPowerBase	541	541	0	0	0	0	0	0	0	0	0	0	0	0
21410	0	atAllTypeCriticalStrike	78	78	0	0	0	0	0	0	0	0	0	0	0	0
21411	0	atMagicAttackPowerBase	668	668	0	0	0	0	0	0	0	0	0	0	0	0
21412	0	atParryValueBase	390	390	0	0	0	0	0	0	0	0	0	0	0	0
21413	0	atParryValueBase	400	400	0	0	0	0	0	0	0	0	0	0	0	0
21414	0	atMagicAttackPowerBase	633	633	0	0	0	0	0	0	0	0	0	0	0	0
21415	0	atAllTypeCriticalStrike	83	83	0	0	0	0	0	0	0	0	0	0	0	0
21416	0	atTherapyPowerBase	1028	1028	0	0	0	0	0	0	0	0	0	0	0	0
21417	0	atMagicAttackPowerBase	577	577	0	0	0	0	0	0	0	0	0	0	0	0
21418	0	atMagicAttackPowerBase	844	844	0	0	0	0	0	0	0	0	0	0	0	0
21419	0	atAllTypeHitValue	62	62	0	0	0	0	0	0	0	0	0	0	0	0
21420	0	atMagicAttackPowerBase	638	638	0	0	0	0	0	0	0	0	0	0	0	0
21421	0	atAllTypeCriticalStrike	64	64	0	0	0	0	0	0	0	0	0	0	0	0
21422	0	atAllTypeCriticalDamagePowerBase	64	64	0	0	0	0	0	0	0	0	0	0	0	0
21423	0	atLunarAttackPowerBase	374	374	0	0	0	0	0	0	0	0	0	0	0	0
21424	0	atSolarAndLunarAttackPowerBase	156	156	0	0	0	0	0	0	0	0	0	0	0	0
21425	0	atMagicAttackPowerBase	352	352	0	0	0	0	0	0	0	0	0	0	0	0
21426	0	atMagicAttackPowerBase	368	368	0	0	0	0	0	0	0	0	0	0	0	0
21427	0	atMagicAttackPowerBase	392	392	0	0	0	0	0	0	0	0	0	0	0	0
21428	0	atMagicHitValue	68	68	0	0	0	0	0	0	0	0	0	0	0	0
21429	0	atMagicAttackPowerBase	407	407	0	0	0	0	0	0	0	0	0	0	0	0
21430	0	atMagicAttackPowerBase	382	382	0	0	0	0	0	0	0	0	0	0	0	0
21431	0	atAllTypeHitValue	61	61	0	0	0	0	0	0	0	0	0	0	0	0
21432	0	atMagicAttackPowerBase	366	366	0	0	0	0	0	0	0	0	0	0	0	0
21433	0	atMagicHitValue	61	61	0	0	0	0	0	0	0	0	0	0	0	0
21434	0	atMagicAttackPowerBase	324	324	0	0	0	0	0	0	0	0	0	0	0	0
21435	0	atMagicHitValue	52	52	0	0	0	0	0	0	0	0	0	0	0	0
21436	0	atMagicAttackPowerBase	345	345	0	0	0	0	0	0	0	0	0	0	0	0
21437	0	atMagicAttackPowerBase	309	309	0	0	0	0	0	0	0	0	0	0	0	0
21438	0	atMagicAttackPowerBase	440	440	0	0	0	0	0	0	0	0	0	0	0	0
21439	0	atMagicAttackPowerBase	399	399	0	0	0	0	0	0	0	0	0	0	0	0
21440	0	atMagicAttackPowerBase	374	374	0	0	0	0	0	0	0	0	0	0	0	0
21441	0	atMagicAttackPowerBase	329	329	0	0	0	0	0	0	0	0	0	0	0	0
21442	0	atMagicOvercome	96	96	0	0	0	0	0	0	0	0	0	0	0	0
21443	0	atMagicAttackPowerBase	404	404	0	0	0	0	0	0	0	0	0	0	0	0
21444	0	atMagicAttackPowerBase	439	439	0	0	0	0	0	0	0	0	0	0	0	0
21445	0	atMagicHitValue	48	48	0	0	0	0	0	0	0	0	0	0	0	0
21446	0	atMagicHitValue	66	66	0	0	0	0	0	0	0	0	0	0	0	0
21447	0	atParryValueBase	1224	1224	0	0	0	0	0	0	0	0	0	0	0	0
21448	0	atMagicAttackPowerBase	445	445	0	0	0	0	0	0	0	0	0	0	0	0
21449	0	atMagicAttackPowerBase	410	410	0	0	0	0	0	0	0	0	0	0	0	0
