ID	Name	UIID	AttriName	Attribute1ID	Attribute1Value1	Attribute1Value2	Score	DiamondType1	Compare1	DiamondCount1	DiamondIntensity1	Attribute2ID	Attribute2Value1	Attribute2Value2	DiamondType2	Compare2	DiamondCount2	DiamondIntensity2	Attribute3ID	Attribute3Value1	Attribute3Value2	DiamondType3	Compare3	DiamondCount3	DiamondIntensity3	ScriptName	Attribute4ID	Attribute4Value1	Attribute4Value2	RepresentIndex	RepresentID	Time	DestItemSubType	TabType	TabIndex	PackageSize	MapInvalidMask	BelongKungfuID
3166	彩·大御·雷鸣·混沌(壹)	32737		atToughnessBase	122	122	0	5	3	5	10	atNeutralAttackPowerBase	147	147	5	3	6	45	atNeutralOvercomeBase	975	975	5	3	8	57									5	14738			
3167	彩·大御·雷鸣·混沌(贰)	32738		atToughnessBase	244	244	0	5	3	7	20	atNeutralAttackPowerBase	295	295	5	3	8	50	atNeutralOvercomeBase	1950	1950	5	3	10	62									5	14739			
3168	彩·大御·雷鸣·混沌(叁)	32739		atToughnessBase	366	366	0	5	3	9	30	atNeutralAttackPowerBase	442	442	5	3	10	55	atNeutralOvercomeBase	2925	2925	5	3	12	67									5	14740			
3169	彩·大御·雷鸣·混沌(肆)	32740		atToughnessBase	488	488	0	5	3	11	40	atNeutralAttackPowerBase	589	589	5	3	12	60	atNeutralOvercomeBase	3900	3900	5	3	14	72									5	14741			
3170	彩·大御·雷鸣·混沌(伍)	32741		atToughnessBase	609	609	0	5	3	13	45	atNeutralAttackPowerBase	737	737	5	3	14	75	atNeutralOvercomeBase	4875	4875	5	3	16	90									5	14742			
3171	彩·大御·雷鸣·混沌(陆)	32742		atToughnessBase	731	731	0	5	3	14	50	atNeutralAttackPowerBase	884	884	5	3	16	90	atNeutralOvercomeBase	5850	5850	5	3	18	108									5	0			
3172	彩·大御·雷鸣·霹雳(壹)	32743		atToughnessBase	122	122	0	5	3	5	10	atNeutralAttackPowerBase	147	147	5	3	6	45	atNeutralCriticalDamagePowerBase	975	975	5	3	8	57									5	14744			
3173	彩·大御·雷鸣·霹雳(贰)	32744		atToughnessBase	244	244	0	5	3	7	20	atNeutralAttackPowerBase	295	295	5	3	8	50	atNeutralCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14745			
3174	彩·大御·雷鸣·霹雳(叁)	32745		atToughnessBase	366	366	0	5	3	9	30	atNeutralAttackPowerBase	442	442	5	3	10	55	atNeutralCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14746			
3175	彩·大御·雷鸣·霹雳(肆)	32746		atToughnessBase	488	488	0	5	3	11	40	atNeutralAttackPowerBase	589	589	5	3	12	60	atNeutralCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14747			
3176	彩·大御·雷鸣·霹雳(伍)	32747		atToughnessBase	609	609	0	5	3	13	45	atNeutralAttackPowerBase	737	737	5	3	14	75	atNeutralCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14748			
3177	彩·大御·雷鸣·霹雳(陆)	32748		atToughnessBase	731	731	0	5	3	14	50	atNeutralAttackPowerBase	884	884	5	3	16	90	atNeutralCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3178	彩·大御·霜冷·冻髓(壹)	32749		atToughnessBase	122	122	0	5	3	5	10	atLunarAttackPowerBase	147	147	5	3	6	45	atLunarOvercomeBase	975	975	5	3	8	57									5	14750			
3179	彩·大御·霜冷·冻髓(贰)	32750		atToughnessBase	244	244	0	5	3	7	20	atLunarAttackPowerBase	295	295	5	3	8	50	atLunarOvercomeBase	1950	1950	5	3	10	62									5	14751			
3180	彩·大御·霜冷·冻髓(叁)	32751		atToughnessBase	366	366	0	5	3	9	30	atLunarAttackPowerBase	442	442	5	3	10	55	atLunarOvercomeBase	2925	2925	5	3	12	67									5	14752			
3181	彩·大御·霜冷·冻髓(肆)	32752		atToughnessBase	488	488	0	5	3	11	40	atLunarAttackPowerBase	589	589	5	3	12	60	atLunarOvercomeBase	3900	3900	5	3	14	72									5	14753			
3182	彩·大御·霜冷·冻髓(伍)	32753		atToughnessBase	609	609	0	5	3	13	45	atLunarAttackPowerBase	737	737	5	3	14	75	atLunarOvercomeBase	4875	4875	5	3	16	90									5	14754			
3183	彩·大御·霜冷·冻髓(陆)	32754		atToughnessBase	731	731	0	5	3	14	50	atLunarAttackPowerBase	884	884	5	3	16	90	atLunarOvercomeBase	5850	5850	5	3	18	108									5	0			
3184	彩·大御·霜冷·杯雪(壹)	32755		atToughnessBase	122	122	0	5	3	5	10	atLunarAttackPowerBase	147	147	5	3	6	45	atLunarCriticalDamagePowerBase	975	975	5	3	8	57									5	14756			
3185	彩·大御·霜冷·杯雪(贰)	32756		atToughnessBase	244	244	0	5	3	7	20	atLunarAttackPowerBase	295	295	5	3	8	50	atLunarCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14757			
3186	彩·大御·霜冷·杯雪(叁)	32757		atToughnessBase	366	366	0	5	3	9	30	atLunarAttackPowerBase	442	442	5	3	10	55	atLunarCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14758			
3187	彩·大御·霜冷·杯雪(肆)	32758		atToughnessBase	488	488	0	5	3	11	40	atLunarAttackPowerBase	589	589	5	3	12	60	atLunarCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14759			
3188	彩·大御·霜冷·杯雪(伍)	32759		atToughnessBase	609	609	0	5	3	13	45	atLunarAttackPowerBase	737	737	5	3	14	75	atLunarCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14760			
3189	彩·大御·霜冷·杯雪(陆)	32760		atToughnessBase	731	731	0	5	3	14	50	atLunarAttackPowerBase	884	884	5	3	16	90	atLunarCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3190	彩·大御·鹤顶·腐心(壹)	32761		atToughnessBase	122	122	0	5	3	5	10	atPoisonAttackPowerBase	147	147	5	3	6	45	atPoisonOvercomeBase	975	975	5	3	8	57									5	14762			
3191	彩·大御·鹤顶·腐心(贰)	32762		atToughnessBase	244	244	0	5	3	7	20	atPoisonAttackPowerBase	295	295	5	3	8	50	atPoisonOvercomeBase	1950	1950	5	3	10	62									5	14763			
3192	彩·大御·鹤顶·腐心(叁)	32763		atToughnessBase	366	366	0	5	3	9	30	atPoisonAttackPowerBase	442	442	5	3	10	55	atPoisonOvercomeBase	2925	2925	5	3	12	67									5	14764			
3193	彩·大御·鹤顶·腐心(肆)	32764		atToughnessBase	488	488	0	5	3	11	40	atPoisonAttackPowerBase	589	589	5	3	12	60	atPoisonOvercomeBase	3900	3900	5	3	14	72									5	14765			
3194	彩·大御·鹤顶·腐心(伍)	32765		atToughnessBase	609	609	0	5	3	13	45	atPoisonAttackPowerBase	737	737	5	3	14	75	atPoisonOvercomeBase	4875	4875	5	3	16	90									5	14766			
3195	彩·大御·鹤顶·腐心(陆)	32766		atToughnessBase	731	731	0	5	3	14	50	atPoisonAttackPowerBase	884	884	5	3	16	90	atPoisonOvercomeBase	5850	5850	5	3	18	108									5	0			
3196	彩·大御·鹤顶·穿石(壹)	32767		atToughnessBase	122	122	0	5	3	5	10	atPoisonAttackPowerBase	147	147	5	3	6	45	atPoisonCriticalDamagePowerBase	975	975	5	3	8	57									5	14768			
3197	彩·大御·鹤顶·穿石(贰)	32768		atToughnessBase	244	244	0	5	3	7	20	atPoisonAttackPowerBase	295	295	5	3	8	50	atPoisonCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14769			
3198	彩·大御·鹤顶·穿石(叁)	32769		atToughnessBase	366	366	0	5	3	9	30	atPoisonAttackPowerBase	442	442	5	3	10	55	atPoisonCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14770			
3199	彩·大御·鹤顶·穿石(肆)	32770		atToughnessBase	488	488	0	5	3	11	40	atPoisonAttackPowerBase	589	589	5	3	12	60	atPoisonCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14771			
3200	彩·大御·鹤顶·穿石(伍)	32771		atToughnessBase	609	609	0	5	3	13	45	atPoisonAttackPowerBase	737	737	5	3	14	75	atPoisonCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14772			
3201	彩·大御·鹤顶·穿石(陆)	32772		atToughnessBase	731	731	0	5	3	14	50	atPoisonAttackPowerBase	884	884	5	3	16	90	atPoisonCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3202	彩·大御·激流·灭气(壹)	32773		atToughnessBase	122	122	0	5	3	5	10	atMagicAttackPowerBase	147	147	5	3	6	45	atMagicOvercome	975	975	5	3	8	57									5	14774			
3203	彩·大御·激流·灭气(贰)	32774		atToughnessBase	244	244	0	5	3	7	20	atMagicAttackPowerBase	295	295	5	3	8	50	atMagicOvercome	1950	1950	5	3	10	62									5	14775			
3204	彩·大御·激流·灭气(叁)	32775		atToughnessBase	366	366	0	5	3	9	30	atMagicAttackPowerBase	442	442	5	3	10	55	atMagicOvercome	2925	2925	5	3	12	67									5	14776			
3205	彩·大御·激流·灭气(肆)	32776		atToughnessBase	488	488	0	5	3	11	40	atMagicAttackPowerBase	589	589	5	3	12	60	atMagicOvercome	3900	3900	5	3	14	72									5	14777			
3206	彩·大御·激流·灭气(伍)	32777		atToughnessBase	609	609	0	5	3	13	45	atMagicAttackPowerBase	737	737	5	3	14	75	atMagicOvercome	4875	4875	5	3	16	90									5	14778			
3207	彩·大御·激流·灭气(陆)	32778		atToughnessBase	731	731	0	5	3	14	50	atMagicAttackPowerBase	884	884	5	3	16	90	atMagicOvercome	5850	5850	5	3	18	108									5	0			
3208	彩·大御·激流·月华(壹)	32779		atToughnessBase	122	122	0	5	3	5	10	atMagicAttackPowerBase	147	147	5	3	6	45	atMagicCriticalDamagePowerBase	975	975	5	3	8	57									5	14780			
3209	彩·大御·激流·月华(贰)	32780		atToughnessBase	244	244	0	5	3	7	20	atMagicAttackPowerBase	295	295	5	3	8	50	atMagicCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14781			
3210	彩·大御·激流·月华(叁)	32781		atToughnessBase	366	366	0	5	3	9	30	atMagicAttackPowerBase	442	442	5	3	10	55	atMagicCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14782			
3211	彩·大御·激流·月华(肆)	32782		atToughnessBase	488	488	0	5	3	11	40	atMagicAttackPowerBase	589	589	5	3	12	60	atMagicCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14783			
3212	彩·大御·激流·月华(伍)	32783		atToughnessBase	609	609	0	5	3	13	45	atMagicAttackPowerBase	737	737	5	3	14	75	atMagicCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14784			
3213	彩·大御·激流·月华(陆)	32784		atToughnessBase	731	731	0	5	3	14	50	atMagicAttackPowerBase	884	884	5	3	16	90	atMagicCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3214	彩·大御·日炎·烈阳(壹)	32785		atToughnessBase	122	122	0	5	3	5	10	atSolarOvercomeBase	488	488	5	3	6	45	atSolarAttackPowerBase	295	295	5	3	8	57									5	14786			
3215	彩·大御·日炎·烈阳(贰)	32786		atToughnessBase	244	244	0	5	3	7	20	atSolarOvercomeBase	975	975	5	3	8	50	atSolarAttackPowerBase	589	589	5	3	10	62									5	14787			
3216	彩·大御·日炎·烈阳(叁)	32787		atToughnessBase	366	366	0	5	3	9	30	atSolarOvercomeBase	1463	1463	5	3	10	55	atSolarAttackPowerBase	884	884	5	3	12	67									5	14788			
3217	彩·大御·日炎·烈阳(肆)	32788		atToughnessBase	488	488	0	5	3	11	40	atSolarOvercomeBase	1950	1950	5	3	12	60	atSolarAttackPowerBase	1178	1178	5	3	14	72									5	14789			
3218	彩·大御·日炎·烈阳(伍)	32789		atToughnessBase	609	609	0	5	3	13	45	atSolarOvercomeBase	2438	2438	5	3	14	75	atSolarAttackPowerBase	1473	1473	5	3	16	90									5	14790			
3219	彩·大御·日炎·烈阳(陆)	32790		atToughnessBase	731	731	0	5	3	14	50	atSolarOvercomeBase	2925	2925	5	3	16	90	atSolarAttackPowerBase	1768	1768	5	3	18	108									5	0			
3220	彩·大御·日炎·浴火(壹)	32791		atToughnessBase	122	122	0	5	3	5	10	atSolarOvercomeBase	488	488	5	3	6	45	atSolarCriticalDamagePowerBase	975	975	5	3	8	57									5	14792			
3221	彩·大御·日炎·浴火(贰)	32792		atToughnessBase	244	244	0	5	3	7	20	atSolarOvercomeBase	975	975	5	3	8	50	atSolarCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14793			
3222	彩·大御·日炎·浴火(叁)	32793		atToughnessBase	366	366	0	5	3	9	30	atSolarOvercomeBase	1463	1463	5	3	10	55	atSolarCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14794			
3223	彩·大御·日炎·浴火(肆)	32794		atToughnessBase	488	488	0	5	3	11	40	atSolarOvercomeBase	1950	1950	5	3	12	60	atSolarCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14795			
3224	彩·大御·日炎·浴火(伍)	32795		atToughnessBase	609	609	0	5	3	13	45	atSolarOvercomeBase	2438	2438	5	3	14	75	atSolarCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14796			
3225	彩·大御·日炎·浴火(陆)	32796		atToughnessBase	731	731	0	5	3	14	50	atSolarOvercomeBase	2925	2925	5	3	16	90	atSolarCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3226	彩·大御·混沌·雷鸣(壹)	32797		atToughnessBase	122	122	0	5	3	5	10	atNeutralOvercomeBase	488	488	5	3	6	45	atNeutralAttackPowerBase	295	295	5	3	8	57									5	14798			
3227	彩·大御·混沌·雷鸣(贰)	32798		atToughnessBase	244	244	0	5	3	7	20	atNeutralOvercomeBase	975	975	5	3	8	50	atNeutralAttackPowerBase	589	589	5	3	10	62									5	14799			
3228	彩·大御·混沌·雷鸣(叁)	32799		atToughnessBase	366	366	0	5	3	9	30	atNeutralOvercomeBase	1463	1463	5	3	10	55	atNeutralAttackPowerBase	884	884	5	3	12	67									5	14800			
3229	彩·大御·混沌·雷鸣(肆)	32800		atToughnessBase	488	488	0	5	3	11	40	atNeutralOvercomeBase	1950	1950	5	3	12	60	atNeutralAttackPowerBase	1178	1178	5	3	14	72									5	14801			
3230	彩·大御·混沌·雷鸣(伍)	32801		atToughnessBase	609	609	0	5	3	13	45	atNeutralOvercomeBase	2438	2438	5	3	14	75	atNeutralAttackPowerBase	1473	1473	5	3	16	90									5	14802			
3231	彩·大御·混沌·雷鸣(陆)	32802		atToughnessBase	731	731	0	5	3	14	50	atNeutralOvercomeBase	2925	2925	5	3	16	90	atNeutralAttackPowerBase	1768	1768	5	3	18	108									5	0			
3232	彩·大御·混沌·霹雳(壹)	32803		atToughnessBase	122	122	0	5	3	5	10	atNeutralOvercomeBase	488	488	5	3	6	45	atNeutralCriticalDamagePowerBase	975	975	5	3	8	57									5	14804			
3233	彩·大御·混沌·霹雳(贰)	32804		atToughnessBase	244	244	0	5	3	7	20	atNeutralOvercomeBase	975	975	5	3	8	50	atNeutralCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14805			
3234	彩·大御·混沌·霹雳(叁)	32805		atToughnessBase	366	366	0	5	3	9	30	atNeutralOvercomeBase	1463	1463	5	3	10	55	atNeutralCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14806			
3235	彩·大御·混沌·霹雳(肆)	32806		atToughnessBase	488	488	0	5	3	11	40	atNeutralOvercomeBase	1950	1950	5	3	12	60	atNeutralCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14807			
3236	彩·大御·混沌·霹雳(伍)	32807		atToughnessBase	609	609	0	5	3	13	45	atNeutralOvercomeBase	2438	2438	5	3	14	75	atNeutralCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14808			
3237	彩·大御·混沌·霹雳(陆)	32808		atToughnessBase	731	731	0	5	3	14	50	atNeutralOvercomeBase	2925	2925	5	3	16	90	atNeutralCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3238	彩·大御·冻髓·霜冷(壹)	32809		atToughnessBase	122	122	0	5	3	5	10	atLunarOvercomeBase	488	488	5	3	6	45	atLunarAttackPowerBase	295	295	5	3	8	57									5	14810			
3239	彩·大御·冻髓·霜冷(贰)	32810		atToughnessBase	244	244	0	5	3	7	20	atLunarOvercomeBase	975	975	5	3	8	50	atLunarAttackPowerBase	589	589	5	3	10	62									5	14811			
3240	彩·大御·冻髓·霜冷(叁)	32811		atToughnessBase	366	366	0	5	3	9	30	atLunarOvercomeBase	1463	1463	5	3	10	55	atLunarAttackPowerBase	884	884	5	3	12	67									5	14812			
3241	彩·大御·冻髓·霜冷(肆)	32812		atToughnessBase	488	488	0	5	3	11	40	atLunarOvercomeBase	1950	1950	5	3	12	60	atLunarAttackPowerBase	1178	1178	5	3	14	72									5	14813			
3242	彩·大御·冻髓·霜冷(伍)	32813		atToughnessBase	609	609	0	5	3	13	45	atLunarOvercomeBase	2438	2438	5	3	14	75	atLunarAttackPowerBase	1473	1473	5	3	16	90									5	14814			
3243	彩·大御·冻髓·霜冷(陆)	32814		atToughnessBase	731	731	0	5	3	14	50	atLunarOvercomeBase	2925	2925	5	3	16	90	atLunarAttackPowerBase	1768	1768	5	3	18	108									5	0			
3244	彩·大御·冻髓·杯雪(壹)	32815		atToughnessBase	122	122	0	5	3	5	10	atLunarOvercomeBase	488	488	5	3	6	45	atLunarCriticalDamagePowerBase	975	975	5	3	8	57									5	14816			
3245	彩·大御·冻髓·杯雪(贰)	32816		atToughnessBase	244	244	0	5	3	7	20	atLunarOvercomeBase	975	975	5	3	8	50	atLunarCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14817			
3246	彩·大御·冻髓·杯雪(叁)	32817		atToughnessBase	366	366	0	5	3	9	30	atLunarOvercomeBase	1463	1463	5	3	10	55	atLunarCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14818			
3247	彩·大御·冻髓·杯雪(肆)	32818		atToughnessBase	488	488	0	5	3	11	40	atLunarOvercomeBase	1950	1950	5	3	12	60	atLunarCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14819			
3248	彩·大御·冻髓·杯雪(伍)	32819		atToughnessBase	609	609	0	5	3	13	45	atLunarOvercomeBase	2438	2438	5	3	14	75	atLunarCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14820			
3249	彩·大御·冻髓·杯雪(陆)	32820		atToughnessBase	731	731	0	5	3	14	50	atLunarOvercomeBase	2925	2925	5	3	16	90	atLunarCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3250	彩·大御·腐心·鹤顶(壹)	32821		atToughnessBase	122	122	0	5	3	5	10	atPoisonOvercomeBase	488	488	5	3	6	45	atPoisonAttackPowerBase	295	295	5	3	8	57									5	14822			
3251	彩·大御·腐心·鹤顶(贰)	32822		atToughnessBase	244	244	0	5	3	7	20	atPoisonOvercomeBase	975	975	5	3	8	50	atPoisonAttackPowerBase	589	589	5	3	10	62									5	14823			
3252	彩·大御·腐心·鹤顶(叁)	32823		atToughnessBase	366	366	0	5	3	9	30	atPoisonOvercomeBase	1463	1463	5	3	10	55	atPoisonAttackPowerBase	884	884	5	3	12	67									5	14824			
3253	彩·大御·腐心·鹤顶(肆)	32824		atToughnessBase	488	488	0	5	3	11	40	atPoisonOvercomeBase	1950	1950	5	3	12	60	atPoisonAttackPowerBase	1178	1178	5	3	14	72									5	14825			
3254	彩·大御·腐心·鹤顶(伍)	32825		atToughnessBase	609	609	0	5	3	13	45	atPoisonOvercomeBase	2438	2438	5	3	14	75	atPoisonAttackPowerBase	1473	1473	5	3	16	90									5	14826			
3255	彩·大御·腐心·鹤顶(陆)	32826		atToughnessBase	731	731	0	5	3	14	50	atPoisonOvercomeBase	2925	2925	5	3	16	90	atPoisonAttackPowerBase	1768	1768	5	3	18	108									5	0			
3256	彩·大御·腐心·穿石(壹)	32827		atToughnessBase	122	122	0	5	3	5	10	atPoisonOvercomeBase	488	488	5	3	6	45	atPoisonCriticalDamagePowerBase	975	975	5	3	8	57									5	14828			
3257	彩·大御·腐心·穿石(贰)	32828		atToughnessBase	244	244	0	5	3	7	20	atPoisonOvercomeBase	975	975	5	3	8	50	atPoisonCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14829			
3258	彩·大御·腐心·穿石(叁)	32829		atToughnessBase	366	366	0	5	3	9	30	atPoisonOvercomeBase	1463	1463	5	3	10	55	atPoisonCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14830			
3259	彩·大御·腐心·穿石(肆)	32830		atToughnessBase	488	488	0	5	3	11	40	atPoisonOvercomeBase	1950	1950	5	3	12	60	atPoisonCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14831			
3260	彩·大御·腐心·穿石(伍)	32831		atToughnessBase	609	609	0	5	3	13	45	atPoisonOvercomeBase	2438	2438	5	3	14	75	atPoisonCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14832			
3261	彩·大御·腐心·穿石(陆)	32832		atToughnessBase	731	731	0	5	3	14	50	atPoisonOvercomeBase	2925	2925	5	3	16	90	atPoisonCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3262	彩·大御·灭气·激流(壹)	32833		atToughnessBase	122	122	0	5	3	5	10	atMagicOvercome	488	488	5	3	6	45	atMagicAttackPowerBase	295	295	5	3	8	57									5	14834			
3263	彩·大御·灭气·激流(贰)	32834		atToughnessBase	244	244	0	5	3	7	20	atMagicOvercome	975	975	5	3	8	50	atMagicAttackPowerBase	589	589	5	3	10	62									5	14835			
3264	彩·大御·灭气·激流(叁)	32835		atToughnessBase	366	366	0	5	3	9	30	atMagicOvercome	1463	1463	5	3	10	55	atMagicAttackPowerBase	884	884	5	3	12	67									5	14836			
3265	彩·大御·灭气·激流(肆)	32836		atToughnessBase	488	488	0	5	3	11	40	atMagicOvercome	1950	1950	5	3	12	60	atMagicAttackPowerBase	1178	1178	5	3	14	72									5	14837			
3266	彩·大御·灭气·激流(伍)	32837		atToughnessBase	609	609	0	5	3	13	45	atMagicOvercome	2438	2438	5	3	14	75	atMagicAttackPowerBase	1473	1473	5	3	16	90									5	14838			
3267	彩·大御·灭气·激流(陆)	32838		atToughnessBase	731	731	0	5	3	14	50	atMagicOvercome	2925	2925	5	3	16	90	atMagicAttackPowerBase	1768	1768	5	3	18	108									5	0			
3268	彩·大御·灭气·月华(壹)	32839		atToughnessBase	122	122	0	5	3	5	10	atMagicOvercome	488	488	5	3	6	45	atMagicCriticalDamagePowerBase	975	975	5	3	8	57									5	14840			
3269	彩·大御·灭气·月华(贰)	32840		atToughnessBase	244	244	0	5	3	7	20	atMagicOvercome	975	975	5	3	8	50	atMagicCriticalDamagePowerBase	1950	1950	5	3	10	62									5	14841			
3270	彩·大御·灭气·月华(叁)	32841		atToughnessBase	366	366	0	5	3	9	30	atMagicOvercome	1463	1463	5	3	10	55	atMagicCriticalDamagePowerBase	2925	2925	5	3	12	67									5	14842			
3271	彩·大御·灭气·月华(肆)	32842		atToughnessBase	488	488	0	5	3	11	40	atMagicOvercome	1950	1950	5	3	12	60	atMagicCriticalDamagePowerBase	3900	3900	5	3	14	72									5	14843			
3272	彩·大御·灭气·月华(伍)	32843		atToughnessBase	609	609	0	5	3	13	45	atMagicOvercome	2438	2438	5	3	14	75	atMagicCriticalDamagePowerBase	4875	4875	5	3	16	90									5	14844			
3273	彩·大御·灭气·月华(陆)	32844		atToughnessBase	731	731	0	5	3	14	50	atMagicOvercome	2925	2925	5	3	16	90	atMagicCriticalDamagePowerBase	5850	5850	5	3	18	108									5	0			
3274	彩·大御·浴火·烈阳(壹)	32845		atToughnessBase	122	122	0	5	3	5	10	atSolarCriticalDamagePowerBase	488	488	5	3	6	45	atSolarAttackPowerBase	295	295	5	3	8	57									5	14846			
3275	彩·大御·浴火·烈阳(贰)	32846		atToughnessBase	244	244	0	5	3	7	20	atSolarCriticalDamagePowerBase	975	975	5	3	8	50	atSolarAttackPowerBase	589	589	5	3	10	62									5	14847			
3276	彩·大御·浴火·烈阳(叁)	32847		atToughnessBase	366	366	0	5	3	9	30	atSolarCriticalDamagePowerBase	1463	1463	5	3	10	55	atSolarAttackPowerBase	884	884	5	3	12	67									5	14848			
3277	彩·大御·浴火·烈阳(肆)	32848		atToughnessBase	488	488	0	5	3	11	40	atSolarCriticalDamagePowerBase	1950	1950	5	3	12	60	atSolarAttackPowerBase	1178	1178	5	3	14	72									5	14849			
3278	彩·大御·浴火·烈阳(伍)	32849		atToughnessBase	609	609	0	5	3	13	45	atSolarCriticalDamagePowerBase	2438	2438	5	3	14	75	atSolarAttackPowerBase	1473	1473	5	3	16	90									5	14850			
3279	彩·大御·浴火·烈阳(陆)	32850		atToughnessBase	731	731	0	5	3	14	50	atSolarCriticalDamagePowerBase	2925	2925	5	3	16	90	atSolarAttackPowerBase	1768	1768	5	3	18	108									5	0			
3280	彩·大御·浴火·日炎(壹)	32851		atToughnessBase	122	122	0	5	3	5	10	atSolarCriticalDamagePowerBase	488	488	5	3	6	45	atSolarOvercomeBase	975	975	5	3	8	57									5	14852			
3281	彩·大御·浴火·日炎(贰)	32852		atToughnessBase	244	244	0	5	3	7	20	atSolarCriticalDamagePowerBase	975	975	5	3	8	50	atSolarOvercomeBase	1950	1950	5	3	10	62									5	14853			
3282	彩·大御·浴火·日炎(叁)	32853		atToughnessBase	366	366	0	5	3	9	30	atSolarCriticalDamagePowerBase	1463	1463	5	3	10	55	atSolarOvercomeBase	2925	2925	5	3	12	67									5	14854			
3283	彩·大御·浴火·日炎(肆)	32854		atToughnessBase	488	488	0	5	3	11	40	atSolarCriticalDamagePowerBase	1950	1950	5	3	12	60	atSolarOvercomeBase	3900	3900	5	3	14	72									5	14855			
3284	彩·大御·浴火·日炎(伍)	32855		atToughnessBase	609	609	0	5	3	13	45	atSolarCriticalDamagePowerBase	2438	2438	5	3	14	75	atSolarOvercomeBase	4875	4875	5	3	16	90									5	14856			
3285	彩·大御·浴火·日炎(陆)	32856		atToughnessBase	731	731	0	5	3	14	50	atSolarCriticalDamagePowerBase	2925	2925	5	3	16	90	atSolarOvercomeBase	5850	5850	5	3	18	108									5	0			
3286	彩·大御·霹雳·雷鸣(壹)	32857		atToughnessBase	122	122	0	5	3	5	10	atNeutralCriticalDamagePowerBase	488	488	5	3	6	45	atNeutralAttackPowerBase	295	295	5	3	8	57									5	14858			
3287	彩·大御·霹雳·雷鸣(贰)	32858		atToughnessBase	244	244	0	5	3	7	20	atNeutralCriticalDamagePowerBase	975	975	5	3	8	50	atNeutralAttackPowerBase	589	589	5	3	10	62									5	14859			
3288	彩·大御·霹雳·雷鸣(叁)	32859		atToughnessBase	366	366	0	5	3	9	30	atNeutralCriticalDamagePowerBase	1463	1463	5	3	10	55	atNeutralAttackPowerBase	884	884	5	3	12	67									5	14860			
3289	彩·大御·霹雳·雷鸣(肆)	32860		atToughnessBase	488	488	0	5	3	11	40	atNeutralCriticalDamagePowerBase	1950	1950	5	3	12	60	atNeutralAttackPowerBase	1178	1178	5	3	14	72									5	14861			
3290	彩·大御·霹雳·雷鸣(伍)	32861		atToughnessBase	609	609	0	5	3	13	45	atNeutralCriticalDamagePowerBase	2438	2438	5	3	14	75	atNeutralAttackPowerBase	1473	1473	5	3	16	90									5	14862			
3291	彩·大御·霹雳·雷鸣(陆)	32862		atToughnessBase	731	731	0	5	3	14	50	atNeutralCriticalDamagePowerBase	2925	2925	5	3	16	90	atNeutralAttackPowerBase	1768	1768	5	3	18	108									5	0			
3292	彩·大御·霹雳·混沌(壹)	32863		atToughnessBase	122	122	0	5	3	5	10	atNeutralCriticalDamagePowerBase	488	488	5	3	6	45	atNeutralOvercomeBase	975	975	5	3	8	57									5	14864			
3293	彩·大御·霹雳·混沌(贰)	32864		atToughnessBase	244	244	0	5	3	7	20	atNeutralCriticalDamagePowerBase	975	975	5	3	8	50	atNeutralOvercomeBase	1950	1950	5	3	10	62									5	14865			
